"L","a","b","treatment","before_after","date_collected"
58,11,6,"D","before","10/14/22"
63,17,10,"D","before","10/14/22"
55,19,10,"D","before","10/14/22"
56,15,5,"D","before","10/14/22"
55,12,5,"D","before","10/14/22"
56,17,8,"D","before","10/14/22"
50,13,6,"D","before","10/14/22"
49,7,-2,"D","before","10/14/22"
46,7,-3,"D","before","10/14/22"
54,10,2,"D","before","10/14/22"
50,12,3,"D","before","10/14/22"
58,20,12,"D","before","10/14/22"
52,11,7,"D","before","10/14/22"
56,12,4,"D","before","10/14/22"
50,11,-1,"D","before","10/14/22"
57,20,9,"D","before","10/14/22"
49,10,2,"D","before","10/14/22"
53,8,2,"D","before","10/14/22"
51,12,6,"D","before","10/14/22"
46,12,0,"D","before","10/14/22"
55,12,6,"VL","before","10/14/22"
57,14,5,"VL","before","10/14/22"
52,9,2,"VL","before","10/14/22"
50,15,5,"VL","before","10/14/22"
52,13,3,"VL","before","10/14/22"
60,10,6,"VL","before","10/14/22"
56,7,1,"VL","before","10/14/22"
54,15,6,"VL","before","10/14/22"
59,10,7,"VL","before","10/14/22"
57,7,2,"VL","before","10/14/22"
56,15,10,"VL","before","10/14/22"
56,15,7,"VL","before","10/14/22"
58,16,9,"VL","before","10/14/22"
52,8,3,"VL","before","10/14/22"
53,18,9,"VL","before","10/14/22"
55,10,2,"VL","before","10/14/22"
60,7,4,"VL","before","10/14/22"
55,15,8,"VL","before","10/14/22"
51,15,3,"VL","before","10/14/22"
49,10,2,"VL","before","10/14/22"
55,5,1,"D","after","10/14/22"
56,3,-1,"D","after","10/14/22"
60,6,4,"D","after","10/14/22"
62,8,9,"D","after","10/14/22"
72,4,5,"D","after","10/14/22"
66,2,-1,"D","after","10/14/22"
69,6,8,"D","after","10/14/22"
69,5,7,"D","after","10/14/22"
68,2,1,"D","after","10/14/22"
67,4,6,"D","after","10/14/22"
65,7,6,"D","after","10/14/22"
59,7,2,"D","after","10/14/22"
59,6,1,"D","after","10/14/22"
59,5,2,"D","after","10/14/22"
65,6,4,"D","after","10/14/22"
60,7,5,"D","after","10/14/22"
59,7,4,"D","after","10/14/22"
63,8,5,"D","after","10/14/22"
58,6,2,"D","after","10/14/22"
62,7,4,"D","after","10/14/22"
61,4,1,"D","after","10/14/22"
64,6,4,"D","after","10/14/22"
63,5,3,"D","after","10/14/22"
62,4,2,"D","after","10/14/22"
65,6,3,"D","after","10/14/22"
60,7,3,"D","after","10/14/22"
63,6,4,"D","after","10/14/22"
63,9,6,"D","after","10/14/22"
61,6,3,"D","after","10/14/22"
60,9,6,"D","after","10/14/22"
64,5,3,"D","after","10/14/22"
61,8,5,"D","after","10/14/22"
70,4,3,"D","after","10/14/22"
61,6,4,"D","after","10/14/22"
69,5,4,"D","after","10/14/22"
63,7,4,"D","after","10/14/22"
64,7,-1,"D","after","10/14/22"
61,6,2,"D","after","10/14/22"
54,1,-8,"D","after","10/14/22"
66,7,3,"D","after","10/14/22"
60,12,12,"D","after","10/14/22"
67,6,7,"D","after","10/14/22"
58,4,0,"D","after","10/14/22"
64,7,5,"D","after","10/14/22"
68,6,8,"D","after","10/14/22"
67,8,9,"D","after","10/14/22"
65,8,6,"D","after","10/14/22"
67,7,7,"D","after","10/14/22"
64,6,5,"D","after","10/14/22"
57,5,3,"D","after","10/14/22"
64,6,5,"D","after","10/14/22"
64,7,6,"D","after","10/14/22"
64,7,6,"D","after","10/14/22"
68,4,5,"D","after","10/14/22"
61,9,7,"D","after","10/14/22"
59,0,-2,"D","after","10/14/22"
65,5,4,"D","after","10/14/22"
58,4,-1,"D","after","10/14/22"
65,5,3,"VL","after","10/14/22"
65,5,4,"VL","after","10/14/22"
60,6,5,"VL","after","10/14/22"
64,3,4,"VL","after","10/14/22"
65,6,6,"VL","after","10/14/22"
62,5,4,"VL","after","10/14/22"
60,6,5,"VL","after","10/14/22"
59,6,5,"VL","after","10/14/22"
63,6,5,"VL","after","10/14/22"
65,4,4,"VL","after","10/14/22"
65,6,6,"VL","after","10/14/22"
62,5,2,"VL","after","10/14/22"
59,2,-1,"VL","after","10/14/22"
66,5,4,"VL","after","10/14/22"
61,6,5,"VL","after","10/14/22"
59,4,0,"VL","after","10/14/22"
59,7,4,"VL","after","10/14/22"
61,3,2,"VL","after","10/14/22"
63,8,5,"VL","after","10/14/22"
59,6,5,"VL","after","10/14/22"
62,6,4,"VL","after","10/14/22"
57,4,0,"VL","after","10/14/22"
62,7,5,"VL","after","10/14/22"
66,4,4,"VL","after","10/14/22"
66,4,2,"VL","after","10/14/22"
60,6,2,"VL","after","10/14/22"
61,3,1,"VL","after","10/14/22"
61,4,0,"VL","after","10/14/22"
61,3,1,"VL","after","10/14/22"
60,4,2,"VL","after","10/14/22"
60,4,1,"VL","after","10/14/22"
61,4,2,"VL","after","10/14/22"
55,5,1,"VL","after","10/14/22"
61,6,3,"VL","after","10/14/22"
59,5,3,"VL","after","10/14/22"
63,4,0,"VL","after","10/14/22"
62,5,1,"VL","after","10/14/22"
63,4,4,"VL","after","10/14/22"
56,8,5,"VL","after","10/14/22"
60,3,0,"VL","after","10/14/22"
58,6,4,"VL","after","10/14/22"
59,3,1,"VL","after","10/14/22"
63,1,-3,"VL","after","10/14/22"
67,5,7,"VL","after","10/14/22"
66,6,6,"VL","after","10/14/22"
70,5,4,"VL","after","10/14/22"
75,8,8,"VL","after","10/14/22"
65,7,5,"VL","after","10/14/22"
65,4,2,"VL","after","10/14/22"
60,6,7,"VL","after","10/14/22"
62,4,2,"VL","after","10/14/22"
67,6,7,"VL","after","10/14/22"
59,7,4,"VL","after","10/14/22"
66,5,4,"VL","after","10/14/22"
56,10,6,"VL","after","10/14/22"
59,6,5,"VL","after","10/14/22"
64,5,4,"VL","after","10/14/22"
59,19,12,"control","before","11/3/22"
62,10,9,"control","before","11/3/22"
62,8,5,"control","before","11/3/22"
54,7,3,"control","before","11/3/22"
53,8,3,"control","before","11/3/22"
58,4,-1,"control","before","11/3/22"
52,10,4,"control","before","11/3/22"
61,5,2,"control","before","11/3/22"
58,9,6,"control","before","11/3/22"
57,11,6,"control","before","11/3/22"
54,7,-1,"control","before","11/3/22"
58,10,4,"control","before","11/3/22"
54,7,1,"control","before","11/3/22"
57,13,5,"control","before","11/3/22"
67,16,10,"control","before","11/3/22"
56,16,9,"control","before","11/3/22"
56,9,3,"control","before","11/3/22"
53,3,-3,"control","before","11/3/22"
59,3,0,"control","before","11/3/22"
56,7,1,"control","before","11/3/22"
69,6,6,"D","after","11/3/22"
65,5,2,"D","after","11/3/22"
66,7,4,"D","after","11/3/22"
68,3,0,"D","after","11/3/22"
67,6,3,"D","after","11/3/22"
64,5,4,"D","after","11/3/22"
66,4,2,"D","after","11/3/22"
67,5,5,"D","after","11/3/22"
70,3,0,"D","after","11/3/22"
60,4,0,"D","after","11/3/22"
57,6,2,"D","after","11/3/22"
60,4,0,"D","after","11/3/22"
69,8,4,"D","after","11/3/22"
64,10,5,"D","after","11/3/22"
62,7,4,"D","after","11/3/22"
64,5,2,"D","after","11/3/22"
63,6,3,"D","after","11/3/22"
64,5,2,"D","after","11/3/22"
63,5,1,"D","after","11/3/22"
62,5,1,"D","after","11/3/22"
59,7,4,"D","after","11/3/22"
59,6,4,"D","after","11/3/22"
57,8,5,"D","after","11/3/22"
58,6,2,"D","after","11/3/22"
59,5,1,"D","after","11/3/22"
55,7,4,"D","after","11/3/22"
62,8,5,"D","after","11/3/22"
60,6,3,"D","after","11/3/22"
58,8,5,"D","after","11/3/22"
60,8,2,"D","after","11/3/22"
67,3,1,"D","after","11/3/22"
75,3,4,"D","after","11/3/22"
60,8,3,"D","after","11/3/22"
59,3,-1,"D","after","11/3/22"
57,8,3,"D","after","11/3/22"
67,10,9,"D","after","11/3/22"
66,6,3,"D","after","11/3/22"
61,7,4,"D","after","11/3/22"
63,9,3,"D","after","11/3/22"
61,6,1,"D","after","11/3/22"
63,7,5,"D","after","11/3/22"
64,6,4,"D","after","11/3/22"
61,1,-4,"D","after","11/3/22"
60,4,0,"D","after","11/3/22"
63,6,2,"D","after","11/3/22"
62,7,5,"D","after","11/3/22"
65,4,3,"D","after","11/3/22"
61,7,5,"D","after","11/3/22"
60,9,6,"D","after","11/3/22"
64,4,1,"D","after","11/3/22"
64,6,2,"D","after","11/3/22"
63,6,2,"D","after","11/3/22"
65,8,7,"D","after","11/3/22"
62,9,5,"D","after","11/3/22"
65,6,4,"D","after","11/3/22"
69,5,4,"D","after","11/3/22"
65,7,4,"D","after","11/3/22"
61,6,1,"D","after","11/3/22"
57,3,1,"D","after","11/3/22"
61,6,2,"D","after","11/3/22"
63,4,0,"D","after","11/3/22"
55,3,-5,"D","after","11/3/22"
58,8,4,"D","after","11/3/22"
57,9,5,"D","after","11/3/22"
58,7,2,"D","after","11/3/22"
64,5,2,"D","after","11/3/22"
66,4,-1,"D","after","11/3/22"
64,6,3,"D","after","11/3/22"
64,6,1,"D","after","11/3/22"
63,7,2,"D","after","11/3/22"
66,6,4,"D","after","11/3/22"
65,7,3,"D","after","11/3/22"
64,8,5,"D","after","11/3/22"
68,6,3,"D","after","11/3/22"
67,5,3,"D","after","11/3/22"
60,5,1,"VL","after","11/3/22"
56,5,-1,"VL","after","11/3/22"
53,6,1,"VL","after","11/3/22"
55,8,3,"VL","after","11/3/22"
64,5,3,"VL","after","11/3/22"
65,3,0,"VL","after","11/3/22"
64,4,2,"VL","after","11/3/22"
64,10,8,"VL","after","11/3/22"
68,6,4,"VL","after","11/3/22"
61,5,3,"VL","after","11/3/22"
61,4,0,"VL","after","11/3/22"
59,6,1,"VL","after","11/3/22"
63,6,3,"VL","after","11/3/22"
65,7,5,"VL","after","11/3/22"
58,3,-1,"VL","after","11/3/22"
60,12,8,"VL","after","11/3/22"
68,6,3,"VL","after","11/3/22"
63,3,-1,"VL","after","11/3/22"
57,11,6,"VL","after","11/3/22"
62,6,3,"VL","after","11/3/22"
55,1,-5,"VL","after","11/3/22"
58,5,1,"VL","after","11/3/22"
55,5,-1,"VL","after","11/3/22"
59,5,3,"VL","after","11/3/22"
60,6,2,"VL","after","11/3/22"
60,7,1,"VL","after","11/3/22"
65,8,4,"VL","after","11/3/22"
61,3,0,"VL","after","11/3/22"
67,4,3,"VL","after","11/3/22"
62,3,-3,"VL","after","11/3/22"
64,6,5,"VL","after","11/3/22"
65,6,5,"VL","after","11/3/22"
65,4,-1,"VL","after","11/3/22"
65,4,1,"VL","after","11/3/22"
60,3,-2,"VL","after","11/3/22"
67,6,2,"VL","after","11/3/22"
63,4,0,"VL","after","11/3/22"
64,3,3,"VL","after","11/3/22"
58,4,-1,"VL","after","11/3/22"
62,4,2,"VL","after","11/3/22"
60,6,2,"VL","after","11/3/22"
61,4,1,"VL","after","11/3/22"
57,3,-7,"VL","after","11/3/22"
57,4,1,"VL","after","11/3/22"
61,6,1,"VL","after","11/3/22"
58,10,7,"VL","after","11/3/22"
56,9,4,"VL","after","11/3/22"
58,5,2,"VL","after","11/3/22"
58,7,1,"VL","after","11/3/22"
62,5,0,"VL","after","11/3/22"
57,7,2,"VL","after","11/3/22"
61,6,1,"VL","after","11/3/22"
62,8,5,"VL","after","11/3/22"
63,0,-6,"VL","after","11/3/22"
57,5,1,"VL","after","11/3/22"
63,6,3,"VL","after","11/3/22"
64,8,5,"VL","after","11/3/22"
65,6,3,"VL","after","11/3/22"
55,3,-1,"VL","after","11/3/22"
59,3,-4,"VL","after","11/3/22"
58,6,1,"VL","after","11/3/22"
58,7,5,"VL","after","11/3/22"
58,6,3,"VL","after","11/3/22"
58,9,6,"VL","after","11/3/22"
65,6,4,"VL","after","11/3/22"
63,7,3,"VL","after","11/3/22"
60,7,1,"UV","after","11/3/22"
64,9,6,"UV","after","11/3/22"
63,7,2,"UV","after","11/3/22"
64,10,6,"UV","after","11/3/22"
56,4,-4,"UV","after","11/3/22"
59,9,3,"UV","after","11/3/22"
61,5,1,"UV","after","11/3/22"
61,5,1,"UV","after","11/3/22"
60,9,6,"UV","after","11/3/22"
57,8,2,"UV","after","11/3/22"
64,4,1,"UV","after","11/3/22"
66,8,6,"UV","after","11/3/22"
56,9,0,"UV","after","11/3/22"
62,12,7,"UV","after","11/3/22"
59,7,5,"UV","after","11/3/22"
58,11,4,"UV","after","11/3/22"
62,5,2,"UV","after","11/3/22"
61,8,5,"UV","after","11/3/22"
62,6,2,"UV","after","11/3/22"
57,6,2,"UV","after","11/3/22"
63,15,11,"UV","after","11/3/22"
64,8,5,"UV","after","11/3/22"
63,10,8,"UV","after","11/3/22"
63,7,3,"UV","after","11/3/22"
63,8,3,"UV","after","11/3/22"
66,6,3,"UV","after","11/3/22"
63,8,4,"UV","after","11/3/22"
64,11,7,"UV","after","11/3/22"
67,9,5,"UV","after","11/3/22"
65,7,2,"UV","after","11/3/22"
59,7,2,"UV","after","11/3/22"
57,12,4,"UV","after","11/3/22"
57,5,1,"UV","after","11/3/22"
63,6,3,"UV","after","11/3/22"
57,8,3,"UV","after","11/3/22"
57,9,3,"UV","after","11/3/22"
58,8,4,"UV","after","11/3/22"
56,9,3,"UV","after","11/3/22"
59,9,4,"UV","after","11/3/22"
59,6,1,"UV","after","11/3/22"
56,7,3,"UV","after","11/3/22"
59,8,4,"UV","after","11/3/22"
57,9,2,"UV","after","11/3/22"
57,7,2,"UV","after","11/3/22"
55,13,7,"UV","after","11/3/22"
57,12,6,"UV","after","11/3/22"
54,3,-2,"UV","after","11/3/22"
60,7,1,"UV","after","11/3/22"
59,8,2,"UV","after","11/3/22"
59,11,7,"UV","after","11/3/22"
55,11,5,"UV","after","11/3/22"
54,7,0,"UV","after","11/3/22"
57,4,-2,"UV","after","11/3/22"
50,10,1,"UV","after","11/3/22"
53,10,5,"UV","after","11/3/22"
55,6,0,"UV","after","11/3/22"
54,9,3,"UV","after","11/3/22"
65,15,9,"UV","after","11/3/22"
61,10,4,"UV","after","11/3/22"
62,8,3,"UV","after","11/3/22"
55,10,3,"UV","after","11/3/22"
57,9,4,"UV","after","11/3/22"
61,13,9,"UV","after","11/3/22"
60,8,6,"UV","after","11/3/22"
56,5,-2,"UV","after","11/3/22"
58,8,2,"UV","after","11/3/22"
60,7,5,"UV","after","11/3/22"
61,7,4,"UV","after","11/3/22"
60,9,4,"UV","after","11/3/22"
55,3,-2,"UV","after","11/3/22"
60,8,2,"UV","after","11/3/22"
60,10,7,"UV","after","11/3/22"
58,8,2,"UV","after","11/3/22"
60,8,2,"UV","after","11/3/22"
60,6,1,"UV","after","11/3/22"
56,6,-3,"UV","after","11/3/22"
62,8,0,"UV","after","11/3/22"
65,7,6,"UV","after","11/3/22"
